date	who	what	link	helper	counter	flag
2014-01-04	That 	 be a cause for celebration on both sides of the border	http://www.economist.com/news/leaders/21592612-north-americas-trade-deal-has-delivered-real-benefits-job-not-done-deeper-better	1	1	LEADERS
2014-01-04	Measures to allow the pre-clearance of goods before they reach the frontier are held up by America’s needless insistence that its customs agents 	 be allowed to carry guns, against Mexican laws, when they operate south of the border	http://www.economist.com/news/leaders/21592612-north-americas-trade-deal-has-delivered-real-benefits-job-not-done-deeper-better	1	2	LEADERS
2014-01-04	NAFTA 	 show how regional deals can be bridges to wider liberalisation	http://www.economist.com/news/leaders/21592612-north-americas-trade-deal-has-delivered-real-benefits-job-not-done-deeper-better	1	3	LEADERS
2014-01-04	The United States, Canada and Mexico have each pursued free-trade agreements with the European Union separately, for example; instead, they 	 act in concert	http://www.economist.com/news/leaders/21592612-north-americas-trade-deal-has-delivered-real-benefits-job-not-done-deeper-better	1	4	LEADERS
2014-01-04	NAFTA itself 	 also map out a way to invite in new members from Central America, the Caribbean and Latin America, to spread free trade across all the Americas	http://www.economist.com/news/leaders/21592612-north-americas-trade-deal-has-delivered-real-benefits-job-not-done-deeper-better	1	5	LEADERS
2014-01-04	Third, the bloc 	 embrace the freer movement of people	http://www.economist.com/news/leaders/21592612-north-americas-trade-deal-has-delivered-real-benefits-job-not-done-deeper-better	1	6	LEADERS
2014-01-04	Turks 	 be troubled that their police and courts can be turned against particular groups when it suits those in power	http://www.economist.com/news/leaders/21592614-government-recep-tayyip-erdogan-has-grave-questions-answer-arab-road	1	7	LEADERS
2014-01-04	Blurred lines During the peak of HIV, the arguments for compulsory licensing were strong, for drugs 	 be made as widely available as possible during an epidemic to prevent it from spreading	http://www.economist.com/news/leaders/21592619-patents-drugs-are-interests-sick-well-industry-protection-should-not	1	8	LEADERS
2014-01-04	What is more, as such countries get more prosperous, so their elites get richer; and it is not obvious that poor Americans 	 subsidise drugs for rich Indians	http://www.economist.com/news/leaders/21592619-patents-drugs-are-interests-sick-well-industry-protection-should-not	1	9	LEADERS
2014-01-04	“We 	 not forget”, said José Manuel Barroso, head of the European Commission, “that in Europe, not so many decades ago, we had very, very worrying developments of xenophobia and racism and intolerance	http://www.economist.com/news/briefing/21592666-parties-nationalist-right-are-changing-terms-european-political-debate-does	1	10	BRIEFING
2014-01-04	Now they know which gene to look for, boffins 	 be better able to diagnose and treat people most at risk—cajoling them to eat less and move around more, for example	http://www.economist.com/news/americas/21592621-new-research-suggests-genetic-susceptibility-disease-unskinny-genes	1	11	AMERICAS
2014-01-04	At least no one, so far, has followed through the suggestion from a senior politician that the same-sex partners of some diplomats 	 be arrested for flouting India’s newly reinstated ban on homosexuality	http://www.economist.com/news/asia/21592630-what-seems-petty-dispute-exposes-gulf-between-india-and-america-mangled-messages	1	12	ASIA
2014-01-04	Yet those now clamouring for AK’s demise 	 think long and hard	http://www.economist.com/news/europe/21592671-turkeys-government-disappoints-because-allegations-sleaze-and-its-increasingly-authoritarian	1	13	EUROPE
2014-01-04	In 1993, 47% of men and 54% of women said that the man 	 sometimes put his career behind his partner’s or other family needs, as Mr Asmussen is now doing	http://www.economist.com/news/europe/21592669-most-germans-remain-surprisingly-traditional-their-views-sexes-mann-and-frau	1	14	EUROPE
2014-01-04	How 	 violent crimes committed during the Troubles of the 1960s to the 1990s be investigated	http://www.economist.com/news/britain/21592616-it-mark-weakness-unionists-blocked-political-deal-down-not-out	1	15	BRITAIN
2014-01-04	And what rules 	 govern the parades that celebrate nationalist and unionist history—and, often, serve to intimidate the other side	http://www.economist.com/news/britain/21592616-it-mark-weakness-unionists-blocked-political-deal-down-not-out	1	16	BRITAIN
2014-01-04	The position papers identify areas of agreement and disagreement on disputed (and previously abstract) issues, which 	 now inform and stimulate public debate	http://www.economist.com/news/britain/21592616-it-mark-weakness-unionists-blocked-political-deal-down-not-out	1	17	BRITAIN
2014-01-04	Britain’s National Institute for Health and Care Excellence (NICE), for example, works to a rough threshold of £20,000-30,000 ($33,000-49,000) for each additional year of good health when deciding which treatments 	 be available on the National Health Service	http://www.economist.com/news/international/21592655-drug-firms-have-new-medicines-and-patients-are-desperate-them-arguments-over	1	18	INTERNATIONAL
2014-01-04	New pricing models 	 eventually ensure that drug firms profit from innovation and more patients get the care they need	http://www.economist.com/news/international/21592655-drug-firms-have-new-medicines-and-patients-are-desperate-them-arguments-over	1	19	INTERNATIONAL
2014-01-04	However, it 	 not be complacent	http://www.economist.com/news/business/21592661-fears-teenagers-are-deserting-facebook-are-overblown-unfriending-mum-and-dad	1	20	BUSINESS
2014-01-04	Morris’s followers were uncomfortable with modern technology, spending decades debating whether machines 	 play any part in production	http://www.economist.com/news/business/21592656-etsy-starting-show-how-maker-movement-can-make-money-art-and-craft-business	1	21	BUSINESS
2014-01-04	The alternative, building a Fortress North America in which the three countries try to boost their mutual competitiveness at the expense of the rest of the world, 	 be avoided	http://www.economist.com/news/briefing/21592631-two-decades-ago-north-american-free-trade-agreement-got-flying-start-then-it	1	22	BRIEFING
2014-01-04	A more seamless North America 	 help reduce the differences between living standards around the region, which would benefit all three countries—not least because a richer Mexico would mean fewer problems of illegal immigration, violence and corruption in the neighbourhood	http://www.economist.com/news/briefing/21592631-two-decades-ago-north-american-free-trade-agreement-got-flying-start-then-it	1	23	BRIEFING
2014-01-11	Some of these assets could not or 	 not be sold	http://www.economist.com/news/leaders/21593453-governments-should-launch-new-wave-privatisations-time-centred-property-9	1	1	LEADERS
2014-01-11	With only one holiday home for every 100 in Spain, Greece 	 be able to tempt developers and other investors at the right price	http://www.economist.com/news/leaders/21593453-governments-should-launch-new-wave-privatisations-time-centred-property-9	1	2	LEADERS
2014-01-11	Why, German taxpayers ask, 	 their credit support unreformed Gallic practices	http://www.economist.com/news/leaders/21593456-president-talking-reform-it-his-interest-and-his-countrys-he-should-carry-it	1	3	LEADERS
2014-01-11	Most Americans now believe that marijuana 	 be legalised, taxed and regulated	http://www.economist.com/news/leaders/21593455-how-tax-and-regulate-marijuana-bongs-and-bureaucrats	1	4	LEADERS
2014-01-11	As with alcohol, anybody who wants to produce it for sale, or sell it, 	 be licensed, as they will be in Colorado	http://www.economist.com/news/leaders/21593455-how-tax-and-regulate-marijuana-bongs-and-bureaucrats	1	5	LEADERS
2014-01-11	It 	 carry clear labels showing its tetrahydrocannabinol (THC) content, just as cans of beer display their alcoholic strength—consumers 	http://www.economist.com/news/leaders/21593455-how-tax-and-regulate-marijuana-bongs-and-bureaucrats	1	6	LEADERS
2014-01-11	But where governments want to discourage consumption—as with cigarettes and alcohol—they 	 tax each unit sold	http://www.economist.com/news/leaders/21593455-how-tax-and-regulate-marijuana-bongs-and-bureaucrats	1	7	LEADERS
2014-01-11	The dope tax 	 probably be lower than those on booze, but alcohol taxes 	http://www.economist.com/news/leaders/21593455-how-tax-and-regulate-marijuana-bongs-and-bureaucrats	1	8	LEADERS
2014-01-11	What level the dope tax 	 be set at will become clearer as more information emerges about health effects and about the substitution of both dope for alcohol and legal marijuana for illegal stuff	http://www.economist.com/news/leaders/21593455-how-tax-and-regulate-marijuana-bongs-and-bureaucrats	1	9	LEADERS
2014-01-11	The feds 	 explicitly allow banks and credit-card firms to handle any transactions that are legal in the state where they occur	http://www.economist.com/news/leaders/21593455-how-tax-and-regulate-marijuana-bongs-and-bureaucrats	1	10	LEADERS
2014-01-11	But its revival 	 be welcomed, for it is probably essential to continued economic recovery, particularly in Europe	http://www.economist.com/news/leaders/21593457-once-cause-financial-worlds-problems-securitisation-now-part-solution-its	1	11	LEADERS
2014-01-11	And although there are still risks, securitisation 	 be safer in the future than in the past because of new, post-crisis regulations to reduce the danger of excesses	http://www.economist.com/news/leaders/21593457-once-cause-financial-worlds-problems-securitisation-now-part-solution-its	1	12	LEADERS
2014-01-11	The principle that the party creating a new security needs to retain some exposure to the underlying credit (the “skin in the game” rule) 	 help ensure that underwriting standards do not get too slack	http://www.economist.com/news/leaders/21593457-once-cause-financial-worlds-problems-securitisation-now-part-solution-its	1	13	LEADERS
2014-01-11	That is also sensible: whereas simple securitisation 	 be welcomed back, the over-engineered versions that rendered the financial system needlessly opaque 	http://www.economist.com/news/leaders/21593457-once-cause-financial-worlds-problems-securitisation-now-part-solution-its	1	14	LEADERS
2014-01-11	The green belts that stop development around big cities 	 go, or at least be greatly weakened	http://www.economist.com/news/leaders/21593454-shortage-housing-gathering-national-crisis-rev-up-bulldozers-englishmans-home	1	15	LEADERS
2014-01-11	This blessed plot The government 	 also do more to organise and pay for industrial wastelands to be prepared for housing	http://www.economist.com/news/leaders/21593454-shortage-housing-gathering-national-crisis-rev-up-bulldozers-englishmans-home	1	16	LEADERS
2014-01-11	The French believe that pleasure 	 triumph over desk-slavery, and simply know better	http://www.economist.com/news/letters/21593391-france-hotels-heathrow-iran-william-petty-films-our-country-year	1	17	LETTERS
2014-01-11	Last October the Civil Aviation Authority announced that airport charges at Heathrow 	 be fixed in real terms until 2019	http://www.economist.com/news/letters/21593391-france-hotels-heathrow-iran-william-petty-films-our-country-year	1	18	LETTERS
