"x"
"1" "LEADERS	That  SHOULD  be a cause for celebration on both sides of the border"
"2" "LEADERS	Measures to allow the pre-clearance of goods before they reach the frontier are held up by America’s needless insistence that its customs agents  SHOULD  be allowed to carry guns, against Mexican laws, when they operate south of the border"
"3" "LEADERS	NAFTA  SHOULD  show how regional deals can be bridges to wider liberalisation"
"4" "LEADERS	The United States, Canada and Mexico have each pursued free-trade agreements with the European Union separately, for example; instead, they  SHOULD  act in concert"
"5" "LEADERS	NAFTA itself  SHOULD  also map out a way to invite in new members from Central America, the Caribbean and Latin America, to spread free trade across all the Americas"
"6" "LEADERS	Third, the bloc  SHOULD  embrace the freer movement of people"
"7" "LEADERS	Turks  SHOULD  be troubled that their police and courts can be turned against particular groups when it suits those in power"
"8" "LEADERS	Blurred lines During the peak of HIV, the arguments for compulsory licensing were strong, for drugs  SHOULD  be made as widely available as possible during an epidemic to prevent it from spreading"
"9" "LEADERS	What is more, as such countries get more prosperous, so their elites get richer; and it is not obvious that poor Americans  SHOULD  subsidise drugs for rich Indians"
"10" "BRIEFING	“We  SHOULD  not forget”, said José Manuel Barroso, head of the European Commission, “that in Europe, not so many decades ago, we had very, very worrying developments of xenophobia and racism and intolerance"
"11" "AMERICAS	Now they know which gene to look for, boffins  SHOULD  be better able to diagnose and treat people most at risk—cajoling them to eat less and move around more, for example"
"12" "ASIA	At least no one, so far, has followed through the suggestion from a senior politician that the same-sex partners of some diplomats  SHOULD  be arrested for flouting India’s newly reinstated ban on homosexuality"
"13" "EUROPE	Yet those now clamouring for AK’s demise  SHOULD  think long and hard"
"14" "EUROPE	In 1993, 47% of men and 54% of women said that the man  SHOULD  sometimes put his career behind his partner’s or other family needs, as Mr Asmussen is now doing"
"15" "BRITAIN	How  SHOULD  violent crimes committed during the Troubles of the 1960s to the 1990s be investigated"
"16" "BRITAIN	And what rules  SHOULD  govern the parades that celebrate nationalist and unionist history—and, often, serve to intimidate the other side"
"17" "BRITAIN	The position papers identify areas of agreement and disagreement on disputed (and previously abstract) issues, which  SHOULD  now inform and stimulate public debate"
"18" "INTERNATIONAL	Britain’s National Institute for Health and Care Excellence (NICE), for example, works to a rough threshold of £20,000-30,000 ($33,000-49,000) for each additional year of good health when deciding which treatments  SHOULD  be available on the National Health Service"
"19" "INTERNATIONAL	New pricing models  SHOULD  eventually ensure that drug firms profit from innovation and more patients get the care they need"
"20" "BUSINESS	However, it  SHOULD  not be complacent"
"21" "BUSINESS	Morris’s followers were uncomfortable with modern technology, spending decades debating whether machines  SHOULD  play any part in production"
"22" "BRIEFING	The alternative, building a Fortress North America in which the three countries try to boost their mutual competitiveness at the expense of the rest of the world,  SHOULD  be avoided"
"23" "BRIEFING	A more seamless North America  SHOULD  help reduce the differences between living standards around the region, which would benefit all three countries—not least because a richer Mexico would mean fewer problems of illegal immigration, violence and corruption in the neighbourhood"
"24" "LEADERS	Some of these assets could not or  SHOULD  not be sold"
"25" "LEADERS	With only one holiday home for every 100 in Spain, Greece  SHOULD  be able to tempt developers and other investors at the right price"
"26" "LEADERS	Why, German taxpayers ask,  SHOULD  their credit support unreformed Gallic practices"
"27" "LEADERS	Most Americans now believe that marijuana  SHOULD  be legalised, taxed and regulated"
"28" "LEADERS	As with alcohol, anybody who wants to produce it for sale, or sell it,  SHOULD  be licensed, as they will be in Colorado"
"29" "LEADERS	It  SHOULD  carry clear labels showing its tetrahydrocannabinol (THC) content, just as cans of beer display their alcoholic strength—consumers "
"30" "LEADERS	But where governments want to discourage consumption—as with cigarettes and alcohol—they  SHOULD  tax each unit sold"
"31" "LEADERS	The dope tax  SHOULD  probably be lower than those on booze, but alcohol taxes "
"32" "LEADERS	What level the dope tax  SHOULD  be set at will become clearer as more information emerges about health effects and about the substitution of both dope for alcohol and legal marijuana for illegal stuff"
"33" "LEADERS	The feds  SHOULD  explicitly allow banks and credit-card firms to handle any transactions that are legal in the state where they occur"
"34" "LEADERS	But its revival  SHOULD  be welcomed, for it is probably essential to continued economic recovery, particularly in Europe"
"35" "LEADERS	And although there are still risks, securitisation  SHOULD  be safer in the future than in the past because of new, post-crisis regulations to reduce the danger of excesses"
"36" "LEADERS	The principle that the party creating a new security needs to retain some exposure to the underlying credit (the “skin in the game” rule)  SHOULD  help ensure that underwriting standards do not get too slack"
"37" "LEADERS	That is also sensible: whereas simple securitisation  SHOULD  be welcomed back, the over-engineered versions that rendered the financial system needlessly opaque "
"38" "LEADERS	The green belts that stop development around big cities  SHOULD  go, or at least be greatly weakened"
"39" "LEADERS	This blessed plot The government  SHOULD  also do more to organise and pay for industrial wastelands to be prepared for housing"
"40" "LETTERS	The French believe that pleasure  SHOULD  triumph over desk-slavery, and simply know better"
"41" "LETTERS	Last October the Civil Aviation Authority announced that airport charges at Heathrow  SHOULD  be fixed in real terms until 2019"
"42" "LETTERS	Heathrow is at capacity and monopoly regulation is therefore counter-productive: prices  SHOULD  clear the market"
"43" "LETTERS	If there is any increase in capacity, consumers  SHOULD  pay for it"
"44" "LETTERS	Stephen WrightProfessor of economicsBirkbeck CollegeLondon   SIR – The sprawling megalopolis of south-east England  SHOULD  have more than just one world-class hub airport"
"45" "LETTERS	) In a lecture on anatomy in 1676 Petty argued that the state  SHOULD  intervene to assure better medicine, which could save 200,000 subjects a year and thus represented a sensible state expenditure"
"46" "BRIEFING	The second area of growth  SHOULD  be in eastern Europe, where hundreds of large firms, including manufacturers, remain in state hands"
"47" "BRIEFING	Mark Russell, its chief executive, favours privatisation, but says there  SHOULD  be no rush to sell holdings that are “deemed to be a good” and in which “greater efficiency can be achieved at marginal cost to the taxpayer”, he says"
"48" "BRIEFING	With political courage and some imaginative structuring of transactions, they  SHOULD  be able to lay to rest the widely accepted idea that their boldest moves are already behind them"
